./images/frames1\1032.jpg,cat
./images/frames1\1056.jpg,cat
./images/frames1\1080.jpg,cat
./images/frames1\1104.jpg,cat
./images/frames1\1128.jpg,cat
./images/frames1\1152.jpg,person
./images/frames1\1152.jpg,chair
./images/frames1\1176.jpg,person
./images/frames1\1176.jpg,chair
./images/frames1\120.jpg,potted plant
./images/frames1\120.jpg,potted plant
./images/frames1\120.jpg,sports ball
./images/frames1\120.jpg,chair
./images/frames1\120.jpg,vase
./images/frames1\1200.jpg,bear
./images/frames1\1248.jpg,person
./images/frames1\1272.jpg,person
./images/frames1\1296.jpg,dog
./images/frames1\1320.jpg,dog
./images/frames1\1344.jpg,dog
./images/frames1\1368.jpg,clock
./images/frames1\1392.jpg,person
./images/frames1\1416.jpg,person
./images/frames1\144.jpg,potted plant
./images/frames1\144.jpg,sports ball
./images/frames1\144.jpg,potted plant
./images/frames1\144.jpg,chair
./images/frames1\1440.jpg,person
./images/frames1\1440.jpg,dog
./images/frames1\1440.jpg,dog
./images/frames1\1440.jpg,dog
./images/frames1\1440.jpg,clock
./images/frames1\1440.jpg,dog
./images/frames1\1440.jpg,person
./images/frames1\1440.jpg,chair
./images/frames1\1440.jpg,book
./images/frames1\1440.jpg,bench
./images/frames1\1440.jpg,dog
./images/frames1\1464.jpg,dog
./images/frames1\1464.jpg,dog
./images/frames1\1464.jpg,dog
./images/frames1\1464.jpg,clock
./images/frames1\1464.jpg,dog
./images/frames1\1464.jpg,dog
./images/frames1\1488.jpg,dog
./images/frames1\1488.jpg,person
./images/frames1\1488.jpg,clock
./images/frames1\1488.jpg,dog
./images/frames1\1488.jpg,teddy bear
./images/frames1\1488.jpg,dog
./images/frames1\1488.jpg,dog
./images/frames1\1488.jpg,cat
./images/frames1\1488.jpg,dog
./images/frames1\1488.jpg,dog
./images/frames1\1512.jpg,person
./images/frames1\1512.jpg,teddy bear
./images/frames1\1512.jpg,bird
./images/frames1\1512.jpg,person
./images/frames1\1512.jpg,teddy bear
./images/frames1\1512.jpg,tennis racket
./images/frames1\1512.jpg,teddy bear
./images/frames1\1512.jpg,dining table
./images/frames1\1536.jpg,person
./images/frames1\1536.jpg,dog
./images/frames1\1536.jpg,teddy bear
./images/frames1\1536.jpg,teddy bear
./images/frames1\1536.jpg,dining table
./images/frames1\1536.jpg,teddy bear
./images/frames1\1536.jpg,person
./images/frames1\1560.jpg,person
./images/frames1\1560.jpg,teddy bear
